px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	meas_type	NIS
158.891	26.0254	3.40465	0.352275	0.0135771	159.014	26.1903	158.827	26.1372	2.66127	1.36157	R	0.883608
161.413	27.4234	3.41785	0.527088	0.115783	161.412	27.4256	161.493	27.4891	2.65371	1.33344	L	0.0370949
161.439	27.4314	3.16183	0.558608	0.182465	161.529	27.8454	161.493	27.4891	2.65371	1.33344	R	0.457435
163.625	28.7718	3.00567	0.542455	0.0562355	163.625	28.7683	164.155	28.8064	2.64354	1.28825	L	0.0655353
163.734	28.7906	3.14241	0.526918	0.0522852	164.116	29.315	164.155	28.8064	2.64354	1.28825	R	2.99843
166.805	30.2012	4.27618	0.312813	-0.119682	166.828	30.2062	166.809	30.0721	2.63006	1.22694	L	0.891513
166.725	30.1759	3.36503	0.395725	0.0405992	166.748	29.7121	166.809	30.0721	2.63006	1.22694	R	2.54741
169.101	31.3724	3.17461	0.471033	0.0629737	169.097	31.3717	169.452	31.2706	2.61238	1.15075	L	0.0274847
169.121	31.3761	3.08128	0.476174	0.0791809	169.345	30.7063	169.452	31.2706	2.61238	1.15075	R	0.167247
172.155	32.3394	3.9515	0.157062	-0.176821	172.175	32.3404	172.079	32.3873	2.58945	1.06126	L	0.759765
172.131	32.3198	3.21818	0.117662	-0.219833	172.135	32.6666	172.079	32.3873	2.58945	1.06126	R	1.34539
174.646	33.4526	3.09163	0.49467	0.159434	174.643	33.4625	174.685	33.4095	2.56021	0.960341	L	0.513497
174.628	33.4516	2.91916	0.512878	0.184828	174.474	33.9157	174.685	33.4095	2.56021	0.960341	R	0.0934191
177.024	34.2075	2.89035	0.241169	-0.109908	177.03	34.2009	177.261	34.3262	2.52363	0.850119	L	0.330718
177.036	34.2048	2.70921	0.227971	-0.114369	177.211	33.8467	177.261	34.3262	2.52363	0.850119	R	0.238754
180.125	35.1358	3.87145	0.305926	0.007171	180.145	35.1423	179.799	35.1289	2.47883	0.732949	L	0.952501
180.005	35.1193	2.86431	0.364351	0.0906721	179.543	35.4767	179.799	35.1289	2.47883	0.732949	R	3.35457
182.591	35.7557	3.20287	0.16147	-0.0950574	182.599	35.753	182.292	35.8114	2.42515	0.611338	L	0.205437
182.497	35.7344	2.67224	0.14991	-0.108422	182.047	36.2626	182.292	35.8114	2.42515	0.611338	R	1.96113
184.731	36.5083	2.78393	0.397589	0.116798	184.732	36.5155	184.73	36.37	2.36226	0.487877	L	0.182718
184.728	36.5114	2.45028	0.429322	0.159047	184.833	36.1451	184.73	36.37	2.36226	0.487877	R	0.163451
186.937	36.9475	2.67706	0.088987	-0.156706	186.946	36.9404	187.103	36.804	2.29017	0.365145	L	0.403647
186.998	36.9562	2.60795	0.0535	-0.188337	187.296	36.9375	187.103	36.804	2.29017	0.365145	R	1.15469
189.458	37.398	2.99727	0.223132	0.0374018	189.465	37.4052	189.401	37.1147	2.20928	0.245623	L	0.277846
189.478	37.4064	2.46419	0.269874	0.0756241	189.738	36.951	189.401	37.1147	2.20928	0.245623	R	0.796807
191.73	37.5692	2.67159	-0.0139498	-0.150552	191.735	37.5631	191.615	37.3064	2.12037	0.131591	L	0.204862
191.697	37.5588	2.34739	-0.0397516	-0.187485	191.682	37.1147	191.615	37.3064	2.12037	0.131591	R	0.285978
193.475	37.2784	2.14753	-0.20593	-0.174668	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	L	0.0224504
193.499	37.2838	2.25102	-0.194928	-0.155298	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	R	0.115565
195.968	37.3895	3.1941	0.233495	0.208145	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	L	1.09401
195.824	37.3969	2.27615	0.290944	0.282264	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	R	4.00519
197.721	37.7356	2.32452	0.214703	0.0607923	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	L	0.169619
197.673	37.725	2.03803	0.203035	0.0541999	197.582	37.303	197.683	37.2395	1.81869	-0.159495	R	0.504249
199.295	37.3021	1.79091	-0.386854	-0.34427	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	L	0.593716
199.312	37.309	1.93101	-0.359998	-0.306582	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	R	0.0745488
201.521	36.9876	2.92751	-0.00130145	0.1113	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	L	1.38168
201.351	36.9906	2.10407	-0.114886	-0.0716384	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	R	4.74565
202.964	36.4598	2.06354	-0.33062	-0.158948	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	L	0.0286896
202.914	36.4464	1.73804	-0.39664	-0.270644	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	R	0.516205
203.993	36.184	1.17362	-0.253446	-0.0225323	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	L	0.350437
204.004	36.1666	1.4927	-0.198293	0.0768424	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	R	0.989029
